model,AUC,PR-AUC,F1,Precision,Recall,MCC,threshold,seed
TIE Baseline,0.897665597340303,0.5558898925880412,0.424653956646644,0.2960670065549891,0.7506925207756233,0.41639768692465157,0.05,42
TIE Baseline,0.8897257705994904,0.37907635187645483,0.3704188481675393,0.24250214224507283,0.7839335180055401,0.3714018619567457,0.8500000000000002,1
TIE Baseline,0.9056976002387577,0.5471363912133858,0.4552443712246019,0.32395466979288784,0.765466297322253,0.4474818531001296,0.9500000000000002,7
TIE Baseline,0.8950672782282226,0.5472744009742453,0.5417310664605873,0.46578073089700994,0.6472760849492152,0.5123063397673594,0.9100000000000003,123
TIE Baseline,0.8667566983661421,0.3093938783225417,0.3223416080029641,0.20162224797219003,0.8033240997229917,0.32766905041682975,0.9500000000000002,2024
TIE Baseline,0.8821380022808268,0.49656325225567516,0.519627681100769,0.46253602305475505,0.592797783933518,0.4861354261713801,0.9500000000000002,2
TIE Baseline,0.9027047185958468,0.49057823124440086,0.408062930186824,0.2780569514237856,0.7663896583564174,0.40378746020476364,0.8000000000000002,3
TIE Baseline,0.8958984927243333,0.43644969192009303,0.3837655016910936,0.2538782816229117,0.7857802400738689,0.38453022559474037,0.9100000000000003,4
TIE Baseline,0.8734463711591465,0.372627221008917,0.4116923076923077,0.3087217351176742,0.6177285318559557,0.38229065785959354,0.9400000000000002,5
TIE Baseline,0.8965795359096331,0.4891194096080216,0.45029420873335396,0.3387698042870457,0.6712834718374885,0.4270214824412816,0.9200000000000003,6
TIE Baseline,0.8759439540526734,0.3087361203691507,0.40240397177946174,0.28061224489795916,0.7109879963065558,0.3883817683161927,0.9500000000000002,8
TIE Baseline,0.8904627948059801,0.355720735130337,0.341701011614837,0.21433607520564044,0.8421052631578947,0.3547947599704693,0.7400000000000002,9
TIE Baseline,0.8853218710267173,0.524673825524647,0.33495736906211937,0.21467603434816548,0.7617728531855956,0.33247633507205004,0.15000000000000002,10
TIE Baseline,0.8911175357971972,0.5255841078141348,0.39598997493734334,0.2717578259373925,0.7294552169898431,0.3856002605841535,0.7200000000000002,11
TIE Baseline,0.9052850586180531,0.5390898982068819,0.3758241758241758,0.2466109027978079,0.7894736842105263,0.377660463489303,0.8800000000000002,12
